Id,Material_Id,Time_Stamp,Json_Text,Spec_Type
21,285,2/8/2019 15:20,"{""Dtex"":1270,""Style"":285,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":1140,""MeanWarpCount"":17,""MinWarpCount"":16.24,""MaxWarpCount"":16.26,""MeanFillCount"":17,""MinFillCount"":16.24,""MaxFillCount"":17.76,""MeanDryWeight"":5.06,""MinDryWeight"":4.86,""MaxDryWeight"":5.27,""MeanConditionedWeight"":5.24,""MinConditionedWeight"":5.03,""MaxConditionedWeight"":5.45,""YarnFinish"":""0.01"",""YarnCode"":""FKE004912707GP0000"",""MoistureRegain"":0.04,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1G545""}",style
22,305,2/8/2019 15:20,"{""Dtex"":440,""Style"":305,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":400,""MeanWarpCount"":31,""MinWarpCount"":30.24,""MaxWarpCount"":16.26,""MeanFillCount"":31,""MinFillCount"":30.24,""MaxFillCount"":31.76,""MeanDryWeight"":3.09,""MinDryWeight"":2.96,""MaxDryWeight"":3.21,""MeanConditionedWeight"":3.3,""MinConditionedWeight"":3.17,""MaxConditionedWeight"":3.43,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KM204405HP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1F1476""}",style
23,314,2/8/2019 15:20,"{""Dtex"":1670,""Style"":314,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":1500,""MeanWarpCount"":28,""MinWarpCount"":27,""MaxWarpCount"":16.26,""MeanFillCount"":28,""MinFillCount"":27,""MaxFillCount"":29,""MeanDryWeight"":10.45,""MinDryWeight"":10.03,""MaxDryWeight"":10.87,""MeanConditionedWeight"":11.17,""MinConditionedWeight"":10.74,""MaxConditionedWeight"":11.63,""YarnFinish"":""0.01"",""YarnCode"":""FKE002916701KP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":""Coconut oil finish"",""YarnMerge"":""1F211""}",style
24,317,2/8/2019 15:20,"{""Dtex"":1670,""Style"":317,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":1500,""MeanWarpCount"":17,""MinWarpCount"":16,""MaxWarpCount"":16.26,""MeanFillCount"":17,""MinFillCount"":16,""MaxFillCount"":18,""MeanDryWeight"":6.34,""MinDryWeight"":6.09,""MaxDryWeight"":6.6,""MeanConditionedWeight"":6.79,""MinConditionedWeight"":6.52,""MaxConditionedWeight"":7.06,""YarnFinish"":""0.01"",""YarnCode"":""FKE002916701KP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":""Coconut oil finish"",""YarnMerge"":""1F211""}",style
25,318,2/8/2019 15:20,"{""Dtex"":670,""Style"":318,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":600,""MeanWarpCount"":23,""MinWarpCount"":22.24,""MaxWarpCount"":16.26,""MeanFillCount"":23,""MinFillCount"":22.24,""MaxFillCount"":23.76,""MeanDryWeight"":3.44,""MinDryWeight"":3.3,""MaxDryWeight"":3.58,""MeanConditionedWeight"":3.68,""MinConditionedWeight"":3.53,""MaxConditionedWeight"":3.83,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP06709CP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W036""}",style
26,320,2/8/2019 15:20,"{""Dtex"":1670,""Style"":320,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":1500,""MeanWarpCount"":22,""MinWarpCount"":21.23,""MaxWarpCount"":16.26,""MeanFillCount"":22,""MinFillCount"":21.23,""MaxFillCount"":22.76,""MeanDryWeight"":8.21,""MinDryWeight"":7.88,""MaxDryWeight"":8.54,""MeanConditionedWeight"":8.79,""MinConditionedWeight"":8.43,""MaxConditionedWeight"":9.14,""YarnFinish"":""0.01"",""YarnCode"":""FKE002916701KP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":""Coconut oil finish"",""YarnMerge"":""1F211""}",style
27,321,2/8/2019 15:20,"{""Dtex"":670,""Style"":321,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":600,""MeanWarpCount"":25,""MinWarpCount"":24.24,""MaxWarpCount"":16.26,""MeanFillCount"":25,""MinFillCount"":24.24,""MaxFillCount"":25.76,""MeanDryWeight"":3.74,""MinDryWeight"":3.59,""MaxDryWeight"":3.89,""MeanConditionedWeight"":4,""MinConditionedWeight"":3.84,""MaxConditionedWeight"":4.16,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP06709CP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W036""}",style
28,322,2/8/2019 15:20,"{""Dtex"":440,""Style"":322,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":400,""MeanWarpCount"":35.56,""MinWarpCount"":34.8,""MaxWarpCount"":16.26,""MeanFillCount"":35.56,""MinFillCount"":34.8,""MaxFillCount"":36.32,""MeanDryWeight"":3.54,""MinDryWeight"":3.4,""MaxDryWeight"":3.68,""MeanConditionedWeight"":3.79,""MinConditionedWeight"":3.64,""MaxConditionedWeight"":3.94,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KM204405HP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1F1476""}",style
29,323,2/8/2019 15:20,"{""Dtex"":670,""Style"":323,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":600,""MeanWarpCount"":23,""MinWarpCount"":22.24,""MaxWarpCount"":16.26,""MeanFillCount"":23,""MinFillCount"":22.24,""MaxFillCount"":23.76,""MeanDryWeight"":3.44,""MinDryWeight"":3.3,""MaxDryWeight"":3.58,""MeanConditionedWeight"":3.68,""MinConditionedWeight"":3.53,""MaxConditionedWeight"":3.83,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP06709CP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W036""}",style
30,324,2/8/2019 15:20,"{""Dtex"":670,""Style"":324,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":600,""MeanWarpCount"":24,""MinWarpCount"":23.24,""MaxWarpCount"":16.26,""MeanFillCount"":24,""MinFillCount"":23.24,""MaxFillCount"":24.77,""MeanDryWeight"":3.59,""MinDryWeight"":3.45,""MaxDryWeight"":3.73,""MeanConditionedWeight"":3.84,""MinConditionedWeight"":3.69,""MaxConditionedWeight"":3.99,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP06709CP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W036""}",style
